"Fecha","Horas","O3","O3_8Hrs","NO2","CO_8Hrs","SO2_24Hrs","PM_10_12Hrs","PM_2.5_12Hrs"
2020-01-10,3H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-10,4H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-10,5H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-10,6H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-10,7H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-10,8H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-10,9H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-10,10H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-10,11H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-10,12H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-10,13H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-10,14H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-10,15H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-10,16H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-10,17H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-10,18H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-10,19H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-10,20H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-10,21H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-10,22H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-10,23H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-11,0S,NA,NA,NA,NA,NA,NA,NA
2020-01-11,1H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-11,2H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-11,3H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-11,4H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-11,5H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-11,6H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-11,7H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-11,8H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-11,9H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-11,10H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-11,11H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-11,12H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-11,13H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-11,14H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-11,15H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-11,16H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-11,17H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-11,18H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-11,19H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-11,20H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-11,21H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-11,22H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-11,23H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-12,0S,NA,NA,NA,NA,NA,NA,NA
2020-01-12,1H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-12,2H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-12,3H 0M 0S,NA,NA,NA,NA,NA,NA,NA
